[ 2026-09-02 11:05:41.985 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabcae0>
[ 2026-09-02 11:05:41.986 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b7b05d0>
[ 2026-09-02 11:05:42.015 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cad7fc0>
[ 2026-09-02 11:05:42.015 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b514e10>
[ 2026-09-02 11:05:42.096 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b856250>
[ 2026-09-02 11:05:42.097 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b855620>
[ 2026-09-02 11:05:42.225 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b855080>
[ 2026-09-02 11:05:42.596 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cad7fc0>
[ 2026-09-02 11:05:42.599 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b856250>
[ 2026-09-02 11:05:42.662 | DEBUG    | exo.download.coordinator:_emit_existing_download_progress:357 ] DownloadCoordinator: Fetching and emitting existing download progress...
[ 2026-09-02 11:05:42.784 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cffcf90>
[ 2026-09-02 11:05:42.833 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c2f1bc0>
[ 2026-09-02 11:05:42.880 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c2f0720>
[ 2026-09-02 11:05:43.188 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c433060>
[ 2026-09-02 11:05:43.191 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c433a80>
[ 2026-09-02 11:05:43.192 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c2f2d30>
[ 2026-09-02 11:05:43.292 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c431020>
[ 2026-09-02 11:05:43.298 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c2f0720>
[ 2026-09-02 11:05:43.817 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b514e10>
[ 2026-09-02 11:05:43.820 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10be3aeb0>
[ 2026-09-02 11:05:44.077 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b855620>
[ 2026-09-02 11:05:44.289 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cad7720>
[ 2026-09-02 11:05:44.291 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10be38090>
[ 2026-09-02 11:05:44.407 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b855ad0>
[ 2026-09-02 11:05:45.370 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc00>
[ 2026-09-02 11:05:45.407 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b127ae0>
[ 2026-09-02 11:05:45.409 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10be3a160>
[ 2026-09-02 11:05:45.511 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cad7720>
[ 2026-09-02 11:05:45.931 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b127ae0>
[ 2026-09-02 11:05:46.113 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10bc2a640>
[ 2026-09-02 11:05:46.116 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b127ae0>
[ 2026-09-02 11:05:46.117 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b514690>
[ 2026-09-02 11:05:46.120 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10bf27300>
[ 2026-09-02 11:05:46.500 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cad7720>
[ 2026-09-02 11:05:46.511 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10bc2a640>
[ 2026-09-02 11:05:46.520 | DEBUG    | exo.api.main:_log_requests:338 ] API request: GET /node_id
[ 2026-09-02 11:05:46.522 | DEBUG    | exo.api.main:_log_requests:338 ] API request: GET /node_id
[ 2026-09-02 11:05:46.522 | DEBUG    | exo.api.main:_log_requests:338 ] API request: GET /node_id
[ 2026-09-02 11:05:46.522 | DEBUG    | exo.api.main:_log_requests:338 ] API request: GET /node_id
[ 2026-09-02 11:05:46.524 | DEBUG    | exo.api.main:_log_requests:338 ] API request: GET /node_id
[ 2026-09-02 11:05:46.609 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10bc28ed0>
[ 2026-09-02 11:05:47.143 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b514690>
[ 2026-09-02 11:05:47.145 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10d0e21c0>
[ 2026-09-02 11:05:47.622 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc00>
[ 2026-09-02 11:05:47.624 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10be38fc0>
[ 2026-09-02 11:05:47.710 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc00>
[ 2026-09-02 11:05:48.657 | DEBUG    | exo.api.main:_log_requests:338 ] API request: GET /node_id
[ 2026-09-02 11:05:48.661 | DEBUG    | exo.utils.info_gatherer.net_profile:check_reachability:70 ] Discovered node with unexpected node_id; ip=127.0.0.1, expected_node_id=cb31822b407fdb0848b60a17c8509f8b, remote_node_id=8a72dcea89175a23393803f857659b0a
[ 2026-09-02 11:05:48.725 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10be3b030>
[ 2026-09-02 11:05:48.728 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c4faf40>
[ 2026-09-02 11:05:48.827 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c2f26d0>
